Emotions,Path
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-03-01-02-02-14.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-06-02-01-02-14.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-02-02-02-01-14.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-05-02-01-02-14.wav
angry,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-05-02-02-01-14.wav
calm,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-02-02-01-01-14.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-07-01-01-02-14.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-03-01-01-01-14.wav
fear,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-06-01-01-01-14.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-03-01-01-02-14.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-07-02-01-01-14.wav
neutral,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-01-01-01-01-14.wav
disgust,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-07-01-01-01-14.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-03-02-02-01-14.wav
happy,/home/jupyter/imported/kaggler/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_14/03-01-03-02-01-02-14.wav
